ISIN;Ticker;Name;Sektor;Industrie;Land;Datum;Währung;Schlusskurs;Gesamteindruck;Marktkapitalisierung (in Milliarden USD);Zielpreis;Performance dieses Jahr;Sensitivität;Gewinnrevisionen;Potenzial;Mittelfristige Technische Trend;4 Wochen (Relative) Performance;Vergleichsindex;KGV;Langfristiges Wachstum;Eigenkapitalrendite;Operative Gewinnmarge;Eigenmittel;Buchwert zu Preis;Anzahl Sterne;Gesamteindruck Marktumfeld;Umsatz  (in Mio);Reingewinn (in Mio);Reingewinn;Current Ratio;Langfristiges Fremdkapital;Umsatz zu Aktien;Cash flow zu Umsatz;Erwartete Dividende
GB00B1YW4409;III;3I GROUP PLC.;Spezialfinanz;Finanzdienstleistungen;Grossbritannien ;14.05.2024;GBp;2950;positive;35.45;3152.13;0.2185;niedrig;negativ;leicht unterbewertet;positiv;0.0103;STOXX600;5.6;0.0873;0.2715;7.6386;0.9453;1.0384;3;positiv;606;4573;7.5462;NULL;0.0438;0.034;NULL;0.0222
IT0001233417;A2A;A2A;Stromversorger;Versorger;Italien;14.05.2024;EUR;1.98;eher positive;6.65;2.08;0.0632;niedrig;negativ;fairer Preis;positiv;0.1388;STOXX600;12.4;0.0269;0.1554;0.0729;0.221;0.728;3;positiv;14492;659;0.0455;1.11;0.2907;0.7555;0.1007;0.0506
SE0011337708;AAK;AAK;Nahrungsmittel;Nahrungsmittel & Getränke;Schweden ;14.05.2024;SEK;289.2;eher positive;6.89;303.66;0.2865;niedrig;positiv;leicht überbewertet;positiv;0.1178;STOXX600;19.8;0.1249;0.1721;0.0902;0.5603;0.2934;3;positiv;46028;2946;0.064;1.95;0.0851;1.5066;0.0826;0.0172
NL0000852564;AALB;AALBERTS;Industriemaschinen;Industrie;Holland;14.05.2024;EUR;47.4;neutral;5.67;43.39;0.2073;mittel;positiv;leicht unterbewertet;positiv;0.0293;STOXX600;12.1;0.0981;0.1281;0.1394;0.5957;0.5677;4;positiv;3324;316;0.0951;1.6;0.1249;0.8032;0.1549;0.0244
CH0012221716;ABBN;ABB LTD;Industriemaschinen;Industrie;Schweiz ;14.05.2024;CHF;47.56;eher positive;97.95;49.94;0.2751;niedrig;positiv;leicht überbewertet;positiv;0.1034;STOXX600;18.1;0.1388;0.2982;0.1622;0.3276;0.1643;3;positiv;28822;3365;0.1168;1.18;0.1275;0.8364;0.1411;0.0192
GB00BF8Q6K64;ABDN;ABERDEEN GROUP;Vermögensverwalter;Finanzdienstleistungen;Grossbritannien ;14.05.2024;GBp;156.6;eher positive;3.47;170.7;-0.1234;mittel;negativ;stark unterbewertet;positiv;0.0905;STOXX600;11.6;0.0678;0.0002;0.1446;0.6074;1.5319;3;positiv;1597;1;0.0006;1.9;0.0746;0.1989;NULL;0.0932
NL0011540547;ABN;ABN AMRO BANK;Banken;Geldinstitute;Holland;14.05.2024;EUR;16.69;positive;15.35;17.77;0.2281;niedrig;negativ;stark unterbewertet;positiv;0.0828;STOXX600;6.8;0.0215;0.1216;0.1835;0.0587;1.8854;3;positiv;19085;2697;0.1413;0.34;0.1732;0.0505;NULL;0.0708
CH1169360919;ACLN;ACCELLERON N;Industriemaschinen;Industrie;Schweiz ;14.05.2024;CHF;36.6;positive;3.78;38.98;0.3938;niedrig;negativ;stark unterbewertet;positiv;0.0114;STOXX600;20.8;0.2593;0.3761;0.1545;0.2381;0.0982;3;positiv;822;91;0.1107;2.33;0.3943;0.8094;0.1436;0.0366
ES0125220311;ANA;ACCIONA;Anlagenbau;Baugewerbe & Werkstoffe;Spanien;14.05.2024;EUR;121.8;neutral;7.07;126.37;-0.0863;mittel;negativ;fairer Preis;positiv;0.0738;STOXX600;15.4;0.0641;0.108;0.0753;0.1583;0.6864;3;positiv;17021;541;0.0318;1.08;0.2648;0.5378;0.0961;0.0409
FR0000120404;AC;ACCOR;Hotels;Reisen & Freizeit;Frankreich;14.05.2024;EUR;41.33;eher positive;10.91;45.01;0.1945;niedrig;negativ;leicht unterbewertet;positiv;-0.0023;STOXX600;14.7;0.1179;0.1496;0.1383;0.3517;0.4503;2;neutral;5056;588;0.1163;0.99;0.3163;0.4524;NULL;0.0318
