ISIN;Ticker;Name;Sektor;Industrie;Land;Datum;Währung;Schlusskurs;Gesamteindruck;Marktkapitalisierung (in Milliarden USD);Zielpreis;Performance dieses Jahr;Sensitivität;Gewinnrevisionen;Potenzial;Mittelfristige Technische Trend;4 Wochen (Relative) Performance;Vergleichsindex;KGV;Langfristiges Wachstum;Eigenkapitalrendite;Operative Gewinnmarge;Eigenmittel;Buchwert zu Preis;Anzahl Sterne;Gesamteindruck Marktumfeld;Umsatz  (in Mio);Reingewinn (in Mio);Reingewinn;Current Ratio;Langfristiges Fremdkapital;Umsatz zu Aktien;Cash flow zu Umsatz;Erwartete Dividende
GB00B1YW4409;III;3I GROUP PLC.;Spezialfinanz;Finanzdienstleistungen;Grossbritannien ;11.06.2024;GBp;2970;eher positive;36.22;3213.48;0.2268;niedrig;negativ;leicht unterbewertet;positiv;0.0484;STOXX600;5.4;0.085;0.2715;7.6386;0.9453;1.0384;3;neutral;606;4573;7.5462;NULL;0.0438;0.034;NULL;0.0242
IT0001233417;A2A;A2A;Stromversorger;Versorger;Italien;11.06.2024;EUR;1.87;eher positive;6.47;2.02;0.0051;niedrig;positiv;fairer Preis;positiv;0.0259;STOXX600;11;0.0114;0.1554;0.0729;0.221;0.728;4;positiv;14492;659;0.0455;1.11;0.2907;0.7555;0.1007;0.0534
SE0011337708;AAK;AAK;Nahrungsmittel;Nahrungsmittel & Getränke;Schweden ;11.06.2024;SEK;301.2;eher positive;7.25;316.26;0.3399;niedrig;positiv;stark überbewertet;positiv;0.0361;STOXX600;17.6;0.1302;0.1721;0.0902;0.5603;0.2934;3;positiv;46028;2946;0.064;1.95;0.0851;1.5066;0.0826;0.0165
NL0000852564;AALB;AALBERTS;Industriemaschinen;Industrie;Holland;11.06.2024;EUR;42.4;neutral;5.1;39.22;0.08;mittel;positiv;stark unterbewertet;negativ;-0.0764;STOXX600;10.7;0.0904;0.1281;0.1394;0.5957;0.5677;2;positiv;3324;316;0.0951;1.6;0.1249;0.8032;0.1549;0.0274
CH0012221716;ABBN;ABB LTD;Industriemaschinen;Industrie;Schweiz ;11.06.2024;CHF;50.08;eher positive;104.46;52.58;0.3426;niedrig;positiv;leicht überbewertet;positiv;0.0686;STOXX600;19.7;0.1462;0.2982;0.1622;0.3276;0.1643;3;positiv;28822;3365;0.1168;1.18;0.1275;0.8364;0.1411;0.0181
GB00BF8Q6K64;ABDN;ABERDEEN GROUP;Vermögensverwalter;Finanzdienstleistungen;Grossbritannien ;11.06.2024;GBp;148.15;eher negative;3.41;132.88;-0.1707;hoch;negativ;stark unterbewertet;positiv;-0.0574;STOXX600;11.4;0.0657;0.0002;0.1446;0.6074;1.5319;2;neutral;1597;1;0.0006;1.9;0.0746;0.1989;NULL;0.0985
NL0011540547;ABN;ABN AMRO BANK;Banken;Geldinstitute;Holland;11.06.2024;EUR;15.56;eher positive;14.72;17.38;0.145;niedrig;negativ;stark unterbewertet;positiv;-0.0346;STOXX600;6.2;0.0158;0.1216;0.1835;0.0587;1.8854;2;positiv;19085;2697;0.1413;0.34;0.1732;0.0505;NULL;0.0781
CH1169360919;ACLN;ACCELLERON N;Industriemaschinen;Industrie;Schweiz ;11.06.2024;CHF;35.46;positive;3.74;39.92;0.3503;niedrig;positiv;stark unterbewertet;positiv;-0.013;STOXX600;19.3;0.1961;0.3761;0.1545;0.2381;0.0982;3;positiv;822;91;0.1107;2.33;0.3943;0.8094;0.1436;0.036
ES0125220311;ANA;ACCIONA;Anlagenbau;Baugewerbe & Werkstoffe;Spanien;11.06.2024;EUR;117;neutral;6.94;127.83;-0.1223;mittel;positiv;leicht unterbewertet;positiv;-0.028;STOXX600;13.5;0.0723;0.108;0.0753;0.1583;0.6864;3;neutral;17021;541;0.0318;1.08;0.2648;0.5378;0.0961;0.0427
FR0000120404;AC;ACCOR;Hotels;Reisen & Freizeit;Frankreich;11.06.2024;EUR;38.59;eher positive;10.1;43.16;0.1153;niedrig;negativ;stark unterbewertet;negativ;-0.0341;STOXX600;13.1;0.1177;0.1496;0.1383;0.3517;0.4503;1;neutral;5056;588;0.1163;0.99;0.3163;0.4524;NULL;0.0343
ES0167050915;ACS;ACS ACTIVIDADES;Anlagenbau;Baugewerbe & Werkstoffe;Spanien;11.06.2024;EUR;39.9;eher positive;11.36;43.57;-0.0065;niedrig;negativ;stark unterbewertet;positiv;0.0298;STOXX600;12.6;0.0941;0.1464;0.0369;0.1441;0.5092;3;neutral;35738;780;0.0218;1.2;0.2218;0.9661;0.0372;0.0539
SE0014781795;ADDTB;ADDTECH AB;Industriemaschinen;Industrie;Schweden ;11.06.2024;SEK;256.8;eher positive;6.38;281.64;0.1599;niedrig;positiv;leicht überbewertet;positiv;0.0643;STOXX600;26.8;0.2057;0.2683;0.1142;0.3649;0.1129;3;positiv;18714;1495;0.0799;1.48;0.2369;1.2255;NULL;0.0119
CH0012138605;ADEN;ADECCO GROUP;Personalberater;Industrie;Schweiz ;11.06.2024;CHF;32.46;eher positive;6.07;37.63;-0.2135;niedrig;negativ;leicht unterbewertet;negativ;-0.0514;STOXX600;8.4;0.1169;0.0945;0.0279;0.2892;0.4834;1;positiv;23275;316;0.0136;1.06;0.2112;2.014;0.0243;0.0753
DE000A1EWWW0;ADS;ADIDAS;Schuhe & Sport;Privat- & Haushaltswaren;Deutschland;11.06.2024;EUR;225.8;neutral;42;207.64;0.2261;mittel;positiv;leicht unterbewertet;positiv;0.016;STOXX600;20.2;0.5004;-0.0164;0.0159;0.2542;0.1393;4;neutral;21427;-75;-0.0035;1.22;0.248;1.1891;0.0477;0.0088
GB00B02J6398;ADM;ADMIRAL GROUP;Sachversicherungen;Versicherungen;Grossbritannien ;11.06.2024;GBp;2563;neutral;10.37;2428.78;-0.0451;mittel;negativ;leicht unterbewertet;negativ;-0.0613;STOXX600;12.9;0.1482;0.3408;0.1254;0.168;0.1206;1;positiv;3910;338;0.0864;-2.06;0.2028;0.6622;0.1015;0.0591
NL0012969182;ADYEN;ADYEN;Spezialfinanz;Finanzdienstleistungen;Holland;11.06.2024;EUR;1198.4;eher negative;40.8;976.93;0.0273;hoch;positiv;fairer Preis;negativ;-0.032;STOXX600;25.3;0.2628;0.221;0.4887;0.3302;0.0873;2;neutral;1863;698;0.3747;1.45;0.018;0.1947;NULL;0
BE0003851681;AED;AEDIFICA;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Belgien;11.06.2024;EUR;56.45;neutral;2.96;63.03;-0.1131;mittel;negativ;stark unterbewertet;negativ;-0.0674;STOXX600;11.5;0.0594;0.0069;0.7527;0.5789;1.1815;1;neutral;321;25;0.0779;NULL;0.3171;0.052;NULL;0.0692
BMG0112X1056;AGN;AEGON;Lebensversicherungen;Versicherungen;Holland;11.06.2024;EUR;5.85;positive;10.9;6.64;0.1155;niedrig;positiv;leicht unterbewertet;positiv;-0.0393;STOXX600;6.5;1.0618;0.031;-0.0049;0.0265;0.8256;3;positiv;22883;234;0.0102;0.1;0.0236;0.0803;0.0031;0.0636
ES0105046017;AENA;AENA SME;Transportwesen;Industrie;Spanien;11.06.2024;EUR;18.12;positive;29.15;19.72;0.1042;niedrig;negativ;stark unterbewertet;positiv;0.0368;STOXX600;12.8;0.1007;0.2138;0.4419;0.4345;0.3099;3;positiv;5040;1631;0.3236;1.28;0.3742;0.2871;0.4865;0.055
FR0010340141;ADP;AEROPORTS DE PARIS;Transportwesen;Industrie;Frankreich;11.06.2024;EUR;120.3;positive;13.03;139.6;0.0265;mittel;positiv;leicht unterbewertet;positiv;-0.0035;STOXX600;16.6;0.133;0.1446;0.2042;0.2219;0.3773;4;positiv;5495;631;0.1148;0.97;0.4334;0.2795;0.2626;0.0306
BE0974264930;AGS;AGEAS SA;Lebensversicherungen;Versicherungen;Belgien;11.06.2024;EUR;43.56;positive;8.63;46.76;0.1081;niedrig;positiv;leicht unterbewertet;positiv;0.0324;STOXX600;5.8;0.0577;0.1284;0.1179;0.0773;1.028;4;positiv;11245;953;0.0847;2;0.0694;0.1171;0.1152;0.0826
IE00BF0L3536;ALBK;AIB GROUP PLC.;Banken;Geldinstitute;Irland;11.06.2024;EUR;4.92;positive;13.25;5.81;0.267;mittel;positiv;stark unterbewertet;positiv;-0.0074;STOXX600;6.4;0.0285;0.143;0.5295;0.1024;1.3739;3;positiv;5685;1996;0.3511;0.39;0.0792;0.0417;0.4028;0.0653
NL0000235190;AIR;AIRBUS;Luftfahrt & Verteidigung;Industrie;Frankreich;11.06.2024;EUR;148.5;eher positive;126.93;169.17;0.0624;niedrig;negativ;stark unterbewertet;negativ;-0.0643;STOXX600;15;0.1872;0.2141;0.0797;0.1489;0.1608;1;positiv;65446;3789;0.0579;1.18;0.0858;0.5506;0.0922;0.0181
NO0010345853;AKRBP;AKER BP;Erschliessung & Produktion;Energie;Norwegen;11.06.2024;NOK;260.5;eher positive;15.31;293.16;-0.1184;niedrig;positiv;leicht unterbewertet;negativ;-0.0491;STOXX600;9.1;0.0585;0.1125;0.7197;0.3166;0.673;2;neutral;143547;14119;0.0984;0.95;0.1627;0.362;0.2878;0.1009
NL0013267909;AKZA;AKZO NOBEL;Spezialitäten-Chemie;Chemie;Holland;11.06.2024;EUR;60.92;neutral;11.23;67.08;-0.1858;mittel;positiv;stark unterbewertet;negativ;-0.0276;STOXX600;11.1;0.1437;0.1023;0.0965;0.2969;0.3386;2;neutral;10668;442;0.0414;1.06;0.2174;0.7328;0.0749;0.0332
CH0432492467;ALC;ALCON AG;Medizinische Geräte;Gesundheitswesen;Schweiz ;11.06.2024;CHF;81;eher positive;45.57;87.21;0.234;niedrig;positiv;leicht überbewertet;positiv;0.1105;STOXX600;22.2;0.1799;0.0504;0.123;0.6964;0.5362;3;positiv;8497;875;0.103;2.28;0.1664;0.3409;0.2322;0.0036
SE0000695876;ALFA;ALFA LAVAL;Industriemaschinen;Industrie;Schweden ;11.06.2024;SEK;475.4;eher positive;18.86;518.71;0.1785;niedrig;positiv;fairer Preis;positiv;-0.0167;STOXX600;19.6;0.1615;0.1709;0.152;0.45;0.2221;3;positiv;63598;6330;0.0995;1.28;0.1373;0.7729;0.1392;0.018
DK0061802139;ALKB;ALK-ABELLO A/S;Pharmaka;Gesundheitswesen;Dänemark;11.06.2024;DKK;142;positive;4.63;173.79;0.4032;niedrig;positiv;leicht unterbewertet;negativ;-0.067;STOXX600;19.7;0.2556;0.1093;0.1389;0.6025;0.2187;2;positiv;4824;486;0.1007;2.26;0.0595;0.6536;0.1513;0
LU2237380790;ALE;ALLEGRO;Warenhäuser & Versand;Einzel- & Grosshandel;Polen;11.06.2024;PLN;37.3;neutral;9.78;34.15;0.1191;mittel;positiv;leicht unterbewertet;positiv;-0.0119;STOXX600;15.3;0.6197;0.0314;0.1614;0.4797;0.2573;3;positiv;10185;284;0.0279;1.77;0.3469;0.5403;0.1235;0
GB00BNTJ3546;ALLFG;ALLFUNDS GROUP;Internet;Technologie;Grossbritannien ;11.06.2024;EUR;5.58;neutral;3.71;5.14;-0.1323;mittel;positiv;leicht unterbewertet;negativ;-0.0296;STOXX600;10.5;0.3052;0.0365;0.3187;0.422;0.5992;2;positiv;548;86;0.1569;NULL;0.0688;0.0984;0.4264;0.0242
DE0008404005;ALV;ALLIANZ;Universalversicherungen;Versicherungen;Deutschland;11.06.2024;EUR;256.1;eher positive;108.55;280.64;0.0585;niedrig;negativ;stark unterbewertet;negativ;-0.0287;STOXX600;9;0.0822;0.159;0.1123;0.056;0.5671;1;positiv;124636;8541;0.0685;0.9;0.0183;0.13;0.0868;0.06
CH0008837566;ALLN;ALLREAL HOLDING;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Schweiz ;11.06.2024;CHF;149.8;eher positive;2.78;161.76;-0.004;niedrig;negativ;fairer Preis;positiv;-0.0039;STOXX600;19.6;0.1059;0.0256;0.4247;0.4446;1.025;2;neutral;428;65;0.1519;NULL;0.3651;0.0748;0.1574;0.0471
FR0010220475;ALO;ALSTOM;Industriemaschinen;Industrie;Frankreich;11.06.2024;EUR;16.8;neutral;8.75;15.12;0.4621;hoch;positiv;leicht unterbewertet;positiv;0.0475;STOXX600;7.5;0.1945;-0.0142;0.0117;0.2866;0.9429;4;positiv;16507;-128;-0.0078;0.82;0.1006;0.5258;0.0459;0.0039
FR0000071946;ATE;ALTEN;Informatik Dienstleister;Technologie;Frankreich;11.06.2024;EUR;112.2;neutral;4.31;129.3;-0.1664;mittel;negativ;leicht unterbewertet;negativ;-0.0721;STOXX600;11.6;0.1064;0.1145;0.0889;0.5971;0.4367;1;positiv;4069;233;0.0573;1.68;0.0581;1.1926;0.0811;0.0155
ES0109067019;AMS;AMADEUS IT GROUP;Software;Technologie;Spanien;11.06.2024;EUR;65.86;positive;32.54;70.36;0.0151;niedrig;positiv;leicht unterbewertet;positiv;0.0645;STOXX600;17.5;0.1577;0.2493;0.273;0.4152;0.1568;4;positiv;5441;1117;0.2053;0.96;0.2538;0.504;NULL;0.0226
DK0060946788;AMBUB;AMBU A/S;Medizinische Geräte;Gesundheitswesen;Dänemark;11.06.2024;DKK;138;neutral;5.23;121.66;0.3118;mittel;positiv;fairer Preis;positiv;0.161;STOXX600;39.9;0.4555;0.0312;0.0582;0.7863;0.3148;4;positiv;4775;168;0.0352;2.13;0.0746;0.6962;0.1035;0.001
IT0004056880;AMP;AMPLIFON;Medizinische Geräte;Gesundheitswesen;Italien;11.06.2024;EUR;33.83;neutral;8.11;36.43;0.0795;mittel;positiv;leicht überbewertet;positiv;-0.0033;STOXX600;25.4;0.1973;0.1409;0.1183;0.2981;0.1556;3;positiv;2260;155;0.0686;0.52;0.2963;0.612;0.1868;0.0107
FR0004125920;AMUN;AMUNDI;Vermögensverwalter;Finanzdienstleistungen;Frankreich;11.06.2024;EUR;62.65;neutral;14.14;68.83;0.017;mittel;positiv;leicht unterbewertet;negativ;-0.0568;STOXX600;8.3;0.0751;0.1025;0.2613;0.3157;0.9074;2;neutral;5790;1165;0.2012;NULL;0.5181;0.1608;0.2159;0.0677
AT0000730007;ANDR;ANDRITZ;Industriemaschinen;Industrie;Oesterreich;11.06.2024;EUR;57;positive;6.04;64.16;0.0106;niedrig;negativ;stark unterbewertet;positiv;0.0574;STOXX600;9.4;0.0783;0.2343;0.0879;0.2414;0.3892;3;positiv;8660;510;0.0589;1.18;0.0737;0.96;0.0839;0.0476
GB00BTK05J60;AAL;ANGLO AMERICAN;Minen;Rohstoffe;Grossbritannien ;11.06.2024;GBp;2318.74;eher negative;40.45;2068.65;0.1971;hoch;positiv;stark unterbewertet;negativ;-0.1428;STOXX600;10.3;0.0966;0.0116;0.2209;0.3765;0.8227;2;neutral;24662;228;0.0092;1.85;0.228;0.4725;0.0968;0.0306
BE0974293251;ABI;ANHEUSER-BUSCH INBEV;Brauereien;Nahrungsmittel & Getränke;Belgien;11.06.2024;EUR;56.76;eher positive;125.4;62.95;-0.0284;niedrig;positiv;leicht unterbewertet;negativ;-0.039;STOXX600;13.9;0.1345;0.0667;0.2446;0.3703;0.7453;2;positiv;54925;4940;0.0899;0.63;0.3356;0.2745;0.1807;0.0187
GB0000456144;ANTO;ANTOFAGASTA;Minen;Rohstoffe;Grossbritannien ;11.06.2024;GBp;2067;neutral;27.12;1903.53;0.2307;mittel;positiv;fairer Preis;negativ;-0.0767;STOXX600;19;0.1935;0.0957;0.2882;0.4556;0.4241;2;neutral;5088;672;0.1321;2.37;0.1617;0.3301;0.3236;0.0147
DK0010244508;MAERSKB;AP MOELLER MAERSK;Seefracht;Industrie;Dänemark;11.06.2024;DKK;11445;neutral;24.48;10502.27;-0.0203;hoch;negativ;stark unterbewertet;positiv;0.1035;STOXX600;51.6;0.311;0.0722;0.0922;0.6546;4.8572;3;positiv;351883;26341;0.0749;2.5;0.145;0.6318;0.197;0.0096
NL0006237562;ARCAD;ARCADIS;Anlagenbau;Baugewerbe & Werkstoffe;Holland;11.06.2024;EUR;59.25;eher positive;5.67;64.89;0.2131;niedrig;negativ;stark unterbewertet;positiv;-0.018;STOXX600;14.2;0.1611;0.1504;0.0661;0.2671;0.242;2;neutral;5003;160;0.032;1.2;0.2717;1.2566;0.0667;0.019
LU1598757687;MT;ARCELORMITTAL;Stahl;Rohstoffe;Frankreich;11.06.2024;EUR;22.67;neutral;20.53;21.25;-0.117;mittel;negativ;leicht unterbewertet;negativ;-0.0258;STOXX600;4.4;0.388;0.0174;0.0474;0.5746;2.3223;1;neutral;63152;850;0.0135;1.53;0.0891;0.7428;0.0526;0.0211
NL0010832176;ARGX;ARGENX;Biotechnologie;Gesundheitswesen;Belgien;11.06.2024;EUR;351.7;neutral;22.36;320.03;0.0239;hoch;negativ;leicht unterbewertet;positiv;0.0176;STOXX600;41.3;1.2627;-0.0736;-0.2784;0.902;0.1824;3;positiv;1134;-273;-0.2407;9.75;0.0034;0.2758;-0.1498;0
FR0010313833;AKE;ARKEMA;Grundchemikalien;Chemie;Frankreich;11.06.2024;EUR;89.15;neutral;7.14;99.1;-0.1345;mittel;positiv;leicht unterbewertet;negativ;-0.0505;STOXX600;7.6;0.0949;0.0643;0.0745;0.448;0.8439;2;neutral;9514;418;0.0439;2.34;0.3054;0.6554;0.1165;0.0424
GB0000536739;AHT;ASHTEAD GROUP;Dienstleister für Unternehmen;Industrie;Grossbritannien ;11.06.2024;GBp;5596;neutral;31.38;6115.79;0.0245;mittel;positiv;fairer Preis;negativ;-0.049;STOXX600;15.4;0.1281;0.282;0.261;0.3208;0.2387;2;positiv;8057;1348;0.1673;1.01;0.4675;0.5407;0.3628;0.0153
NL0000334118;ASM;ASM INTERNATIONAL;Halbleiter;Technologie;Holland;11.06.2024;EUR;693.8;eher negative;36.18;538.19;0.4763;hoch;positiv;leicht überbewertet;positiv;0.1272;STOXX600;31.1;0.2724;0.2331;0.2451;0.7634;0.1396;3;positiv;2634;752;0.2855;2.45;0.0054;0.6233;0.3542;0.0051
NL0010273215;ASML;ASML HOLDING;Halbleiter;Technologie;Holland;11.06.2024;EUR;959.2;neutral;406.69;1007.43;0.4071;mittel;negativ;fairer Preis;positiv;0.1162;STOXX600;27.9;0.2735;0.5827;0.3351;0.3367;0.0502;3;positiv;27559;7839;0.2844;1.5;0.1159;0.6897;0.3113;0.0073
NL0011872643;ASRNL;ASR NEDERLAND;Universalversicherungen;Versicherungen;Holland;11.06.2024;EUR;44.34;eher positive;10.2;49.83;0.0384;niedrig;negativ;stark unterbewertet;positiv;-0.0453;STOXX600;9.4;0.0544;0.1245;0.3264;0.0555;0.9251;2;positiv;12675;1038;0.0819;0.13;0.0925;0.0843;NULL;0.072
SE0007100581;ASSAB;ASSA ABLOY AB;Baustoffe & Einbauten;Baugewerbe & Werkstoffe;Schweden ;11.06.2024;SEK;309.9;eher positive;32.72;335.38;0.0675;niedrig;positiv;fairer Preis;positiv;-0.0108;STOXX600;17.2;0.1346;0.1488;0.1785;0.464;0.2997;3;neutral;140651;13632;0.0969;1.1;0.273;0.7122;0.1337;0.0193
IT0000062072;G;ASSICURAZIONI GENERALI;Universalversicherungen;Versicherungen;Italien;11.06.2024;EUR;23.24;positive;39.63;25.12;0.2164;niedrig;positiv;leicht unterbewertet;positiv;0.0111;STOXX600;7.8;0.0749;0.1293;0.0894;0.0576;0.9627;4;positiv;69120;3746;0.0542;0.04;0.072;0.1375;NULL;0.0613
GB0006731235;ABF;ASSOCIATED BRIT.FOODS;Nahrungsmittel;Nahrungsmittel & Getränke;Grossbritannien ;11.06.2024;GBp;2517;eher positive;24.16;2835.59;0.0634;niedrig;positiv;leicht unterbewertet;negativ;-0.0542;STOXX600;10.8;0.103;0.0941;0.0813;0.5887;0.6984;2;positiv;19763;1044;0.0528;1.83;0.1708;1.0488;0.0977;0.0272
GB0009895292;AZN;ASTRAZENECA;Pharmaka;Gesundheitswesen;Grossbritannien ;11.06.2024;GBp;12376;positive;248.93;13441.45;0.1675;mittel;positiv;leicht unterbewertet;positiv;0.0072;STOXX600;15.3;0.1384;0.156;0.2199;0.3871;0.1869;4;positiv;36854;4791;0.13;0.82;0.2297;0.4646;0.2377;0.0199
SE0017486889;ATCOA;ATLAS COPCO AB;Industriemaschinen;Industrie;Schweden ;11.06.2024;SEK;202.3;eher positive;90.4;216.64;0.1657;niedrig;positiv;leicht überbewertet;positiv;0.0057;STOXX600;27;0.1713;0.3066;0.2148;0.5006;0.1592;3;positiv;172664;28040;0.1624;1.59;0.164;0.9452;0.2073;0.0154
