ISIN;Ticker;Name;Sektor;Industrie;Land;Datum;Währung;Schlusskurs;Gesamteindruck;Marktkapitalisierung (in Milliarden USD);Zielpreis;Performance dieses Jahr;Sensitivität;Gewinnrevisionen;Potenzial;Mittelfristige Technische Trend;4 Wochen (Relative) Performance;Vergleichsindex;KGV;Langfristiges Wachstum;Eigenkapitalrendite;Operative Gewinnmarge;Eigenmittel;Buchwert zu Preis;Anzahl Sterne;Gesamteindruck Marktumfeld;Umsatz  (in Mio);Reingewinn (in Mio);Reingewinn;Current Ratio;Langfristiges Fremdkapital;Umsatz zu Aktien;Cash flow zu Umsatz;Erwartete Dividende
GB00B1YW4409;III;3I GROUP PLC.;Spezialfinanz;Finanzdienstleistungen;Grossbritannien ;09.07.2024;GBp;2938;positive;37.04;3374.91;0.2135;niedrig;negativ;leicht unterbewertet;positiv;0.0376;STOXX600;5.5;0.081;0.2715;7.6386;0.9453;1.0384;3;positiv;606;4573;7.5462;NULL;0.0438;0.034;NULL;0.0237
IT0001233417;A2A;A2A;Stromversorger;Versorger;Italien;09.07.2024;EUR;1.87;eher positive;6.35;2.05;0.0083;niedrig;positiv;fairer Preis;positiv;-0.008;STOXX600;10.8;0.0081;0.1554;0.0729;0.221;0.728;3;neutral;14492;659;0.0455;1.11;0.2907;0.7555;0.1007;0.0533
SE0011337708;AAK;AAK;Nahrungsmittel;Nahrungsmittel & Getränke;Schweden ;09.07.2024;SEK;325.6;eher positive;7.99;341.88;0.4484;niedrig;positiv;leicht überbewertet;positiv;0.1285;STOXX600;20.2;0.1415;0.1721;0.0902;0.5603;0.2934;3;negativ;46028;2946;0.064;1.95;0.0851;1.5066;0.0826;0.0151
NL0000852564;AALB;AALBERTS;Industriemaschinen;Industrie;Holland;09.07.2024;EUR;38.06;eher negative;4.7;35.63;-0.0306;hoch;negativ;stark unterbewertet;negativ;-0.0903;STOXX600;9.9;0.085;0.1281;0.1394;0.5957;0.5677;1;negativ;3324;316;0.0951;1.6;0.1249;0.8032;0.1549;0.0305
CH0012221716;ABBN;ABB LTD;Industriemaschinen;Industrie;Schweiz ;09.07.2024;CHF;49.94;eher positive;102.23;53.58;0.3389;niedrig;negativ;fairer Preis;positiv;0.0126;STOXX600;21.1;0.1513;0.2982;0.1622;0.3276;0.1643;3;negativ;28822;3365;0.1168;1.18;0.1275;0.8364;0.1411;0.0183
GB00BF8Q6K64;ABDN;ABERDEEN GROUP;Vermögensverwalter;Finanzdienstleistungen;Grossbritannien ;09.07.2024;GBp;159;neutral;3.66;146.23;-0.11;hoch;negativ;stark unterbewertet;positiv;0.0665;STOXX600;11.8;0.0631;0.0002;0.1446;0.6074;1.5319;3;positiv;1597;1;0.0006;1.9;0.0746;0.1989;NULL;0.0918
NL0011540547;ABN;ABN AMRO BANK;Banken;Geldinstitute;Holland;09.07.2024;EUR;15.59;positive;14.63;17.85;0.1468;mittel;positiv;stark unterbewertet;negativ;-0.0025;STOXX600;6.1;0.0179;0.1216;0.1835;0.0587;1.8854;3;positiv;19085;2697;0.1413;0.34;0.1732;0.0505;NULL;0.0779
CH1169360919;ACLN;ACCELLERON N;Industriemaschinen;Industrie;Schweiz ;09.07.2024;CHF;37.02;eher positive;3.89;39.28;0.4097;niedrig;positiv;leicht unterbewertet;positiv;0.0497;STOXX600;19;0.19;0.3761;0.1545;0.2381;0.0982;4;negativ;822;91;0.1107;2.33;0.3943;0.8094;0.1436;0.0335
ES0125220311;ANA;ACCIONA;Anlagenbau;Baugewerbe & Werkstoffe;Spanien;09.07.2024;EUR;109;neutral;6.45;119.13;-0.1823;mittel;positiv;stark unterbewertet;negativ;-0.0159;STOXX600;12.5;0.0747;0.108;0.0753;0.1583;0.6864;2;neutral;17021;541;0.0318;1.08;0.2648;0.5378;0.0961;0.0461
FR0000120404;AC;ACCOR;Hotels;Reisen & Freizeit;Frankreich;09.07.2024;EUR;38.84;positive;10.27;43.82;0.1225;mittel;positiv;stark unterbewertet;negativ;0.0194;STOXX600;13.5;0.1196;0.1496;0.1383;0.3517;0.4503;3;positiv;5056;588;0.1163;0.99;0.3163;0.4524;NULL;0.0335
