ISIN;Ticker;Name;Sektor;Industrie;Land;Datum;Währung;Schlusskurs;Dividende;Gesamteindruck;Marktkapitalisierung (in Milliarden USD);Zielpreis;Bear Market Factor;Bad News Factor;Performance dieses Jahr;Sensitivität;Gewinnrevisionen;Potenzial;MF Tech. Trend;4W Rel. Perf;Vergleichsindex;KGV;LF Wachstum;Eigenkapitalrendite;Operative Gewinnmarge;Eigenmittel;Burchwert zu Preis;Anzahl Sterne;Gesamteindruck Marktumfeld;Umsatz  (in Mio);Reingewinn (in Mio);Reingewinn %;Current Ratio;Langfristiges Eigenkapital;Umsatz zu Aktien;Cash flow zu Umsatz;Ausbezahlte Dividenden (in Mio)
GB00B1YW4409;III;3I GROUP PLC.;Spezialfinanz;Finanzdienstleistungen;Grossbritannien ;02.08.2024;GBp;2914;2.42;neutral;38.01;3200.91;-30;172;20.36%;mittel;negativ;leicht unterbewertet;negativ;-1.75%;STOXX600;5.6;8.00%;19%;693%;93%;74%;1;neutral;563;3836;681%;NULL;6%;2.60%;NULL;541
IT0001233417;A2A;A2A;Stromversorger;Versorger;Italien;02.08.2024;EUR;1.9;5.26;neutral;6.55;2.05;-30;209;2.02%;mittel;positiv;fairer Preis;positiv;4.55%;STOXX600;8.8;1.10%;16%;7%;22%;73%;4;positiv;14492;659;5%;1.11;29%;75.55%;10.07%;283
SE0011337708;AAK;AAK;Nahrungsmittel;Nahrungsmittel & Getränke;Schweden ;02.08.2024;SEK;299;1.72;neutral;7.39;322.24;-84;185;33.01%;niedrig;negativ;leicht überbewertet;negativ;-1.30%;STOXX600;19.8;13.30%;17%;9%;56%;29%;0;neutral;46028;2946;6%;1.95;9%;150.66%;8.26%;714
NL0000852564;AALB;AALBERTS;Industriemaschinen;Industrie;Holland;02.08.2024;EUR;32.86;3.53;eher negative;4.11;31.22;133;132;-16.30%;hoch;negativ;stark unterbewertet;negativ;-11.69%;STOXX600;8.7;8.20%;13%;14%;60%;57%;1;negativ;3324;316;10%;1.6;12%;80.32%;15.49%;123
CH0012221716;ABBN;ABB LTD;Industriemaschinen;Industrie;Schweiz ;02.08.2024;CHF;44.69;2.01;neutral;102.51;43.01;8;116;19.81%;mittel;negativ;fairer Preis;negativ;-7.67%;STOXX600;18.9;14.10%;30%;16%;33%;16%;1;negativ;28822;3365;12%;1.18;13%;83.64%;14.11%;1539
NL0011540547;ABN;ABN AMRO BANK;Banken;Geldinstitute;Holland;02.08.2024;EUR;14.77;8.24;neutral;14.32;16.81;30;214;8.68%;mittel;negativ;leicht unterbewertet;negativ;-3.43%;STOXX600;5.8;2.00%;12%;18%;6%;189%;1;negativ;19085;2697;14%;0.34;17%;5.05%;NULL;NULL
GB00BF8Q6K64;SLA;ABRDN;Lebensversicherungen;Versicherungen;Grossbritannien ;02.08.2024;GBp;163.75;8.92;neutral;3.88;150.76;96;227;-8.34%;hoch;positiv;stark unterbewertet;positiv;10.50%;STOXX600;11.6;6.70%;0%;14%;61%;153%;4;neutral;1597;1;0%;1.9;7%;19.89%;NULL;279
CH1169360919;ACLN;ACCELLERON N;Industriemaschinen;Industrie;Schweiz ;02.08.2024;CHF;40.94;3;eher positive;4.68;43.41;-54;185;55.90%;niedrig;positiv;leicht unterbewertet;positiv;17.88%;STOXX600;19.2;19.40%;38%;15%;24%;10%;4;negativ;822;91;11%;2.33;39%;80.94%;14.36%;68
ES0125220311;ANA;ACCIONA;Anlagenbau;Baugewerbe & Werkstoffe;Spanien;02.08.2024;EUR;120.7;4.25;eher positive;7.06;130.78;37;212;-9.45%;mittel;negativ;stark unterbewertet;positiv;16.86%;STOXX600;15.9;11.00%;11%;8%;16%;69%;3;neutral;17021;541;3%;1.08;26%;53.78%;9.61%;247
FR0000120404;AC;ACCOR;Hotels;Reisen & Freizeit;Frankreich;02.08.2024;EUR;33.05;3.97;neutral;9.15;38.72;47;147;-4.48%;mittel;negativ;stark unterbewertet;negativ;-10.97%;STOXX600;12;11.20%;15%;14%;35%;45%;1;negativ;5056;588;12%;0.99;32%;45.24%;NULL;0
ES0167050915;ACS;ACS ACTIVIDADES;Anlagenbau;Baugewerbe & Werkstoffe;Spanien;02.08.2024;EUR;38.68;5.59;eher positive;11.25;43;-46;193;-3.69%;mittel;positiv;stark unterbewertet;negativ;3.18%;STOXX600;11.5;10.30%;15%;4%;14%;51%;3;neutral;35738;780;2%;1.2;22%;96.61%;3.72%;394
SE0014781795;ADDTB;ADDTECH AB;Industriemaschinen;Industrie;Schweden ;02.08.2024;SEK;317.6;1.03;neutral;8.43;275.09;-24;200;43.45%;mittel;negativ;leicht überbewertet;positiv;23.04%;STOXX600;38.3;25.50%;27%;13%;36%;10%;2;negativ;20019;1632;8%;1.48;23%;120.18%;12.21%;674
CH0012138605;ADEN;ADECCO GROUP;Personalberater;Industrie;Schweiz ;02.08.2024;CHF;28.42;8.5;eher negative;5.71;26.32;80;219;-31.14%;hoch;negativ;leicht unterbewertet;negativ;-3.52%;STOXX600;7.6;11.30%;9%;3%;29%;48%;1;negativ;23275;316;1%;1.06;21%;201.40%;2.43%;410
DE000A1EWWW0;ADS;ADIDAS;Schuhe & Sport;Privat- & Haushaltswaren;Deutschland;02.08.2024;EUR;218.7;1.05;neutral;41.64;244.02;36;184;18.76%;mittel;positiv;leicht unterbewertet;negativ;3.81%;STOXX600;18.3;49.00%;-2%;2%;25%;14%;3;negativ;21427;-75;0%;1.22;25%;118.91%;4.77%;125
